index,Zip_Code,lat,lng,population,median_household_income,median_home_value,Less Than High School,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Addison,75001,32.96,-96.84,12414,57633.0,258200.0,0.09210262577670876,0.36630587292042494,0.03818400481058328,0.33253156945279616,0.14421727801162554,0.023251152535578273,0.0034074964922830232,Grocery Store,Fast Food Restaurant,Park,Burger Joint,American Restaurant,Greek Restaurant,Pizza Place,Gym,Sushi Restaurant,Bakery
West Allen,75002,33.08,-96.61,63140,91632.0,186100.0,0.05242489691733752,0.4162821519732967,0.08504319654427646,0.3109660318083644,0.10929216571765167,0.015339681916355782,0.010651875122717456,Mexican Restaurant,Coffee Shop,Grocery Store,Fast Food Restaurant,American Restaurant,Supermarket,Golf Course,Pizza Place,Park,Movie Theater
Central Carrolton,75006,32.95,-96.89,46364,56985.0,146800.0,0.2529457464715784,0.3838210539945617,0.06606888514825845,0.20908325780137246,0.07529457464715784,0.010196814709309854,0.0025896672277612325,Fast Food Restaurant,Mexican Restaurant,Grocery Store,Park,Liquor Store,Coffee Shop,Trail,Pizza Place,Salad Place,BBQ Joint
North Carrollton,75007,33.0,-96.9,51624,78934.0,169400.0,0.10115816667150446,0.4261124495660503,0.0815651214768802,0.2883805985312473,0.07587588168703377,0.014832660880671096,0.01207512118661287,Grocery Store,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Park,Pizza Place,Ice Cream Shop,Liquor Store,Brewery,Supermarket
Celina,75009,33.3,-96.8,8785,87581.0,190500.0,0.07374890254609306,0.5251975417032485,0.1067603160667252,0.2159789288849868,0.06900790166812994,0.006145741878841089,0.0031606672519754173,American Restaurant,Fast Food Restaurant,Mexican Restaurant,Hardware Store,Taco Place,Burger Joint,Park,Coffee Shop,Supermarket,Sandwich Place
Far North Carrollton,75010,33.03,-96.9,21607,75696.0,200800.0,0.0537907929023452,0.4183521528725648,0.09163667948877033,0.3229929271621789,0.08667328452661621,0.01699962774537784,0.009554535302146668,Ice Cream Shop,Fast Food Restaurant,Pizza Place,Brewery,Mexican Restaurant,Grocery Store,Park,Liquor Store,Bakery,Golf Course
East Allen,75013,33.12,-96.69,30347,131878.0,292300.0,0.02589112450209376,0.23235624553161066,0.0662342968031866,0.4121642324583801,0.19849862118271885,0.03707486467163722,0.02778061485037279,Fast Food Restaurant,Grocery Store,Pizza Place,Coffee Shop,Ice Cream Shop,Golf Course,BBQ Joint,Movie Theater,Bakery,Mexican Restaurant
Coppell,75019,32.96,-96.98,38666,110445.0,281500.0,0.0367211561241412,0.2724472873726605,0.06143883755824054,0.3812682618652768,0.18865987522703945,0.04189370607281055,0.017570875779831,Fast Food Restaurant,Park,Mexican Restaurant,Ice Cream Shop,American Restaurant,Coffee Shop,Trail,Supermarket,Grocery Store,Steakhouse
West Flower Mound,75022,33.03,-97.12,22545,145938.0,333700.0,0.02969086987778577,0.2514018691588785,0.07634795111430626,0.4349388928828181,0.1695902228612509,0.02415528396836808,0.01387491013659238,Mexican Restaurant,Ice Cream Shop,American Restaurant,Coffee Shop,Pharmacy,Grocery Store,Pizza Place,Golf Course,Supermarket,Fast Food Restaurant
"(Quail Creek, Cross Bend) - Plano",75023,33.05,-96.73,45452,74777.0,173900.0,0.05509868421052632,0.3914473684210527,0.07303264170040485,0.324455971659919,0.12288081983805668,0.017965587044534412,0.015118927125506072,Grocery Store,Coffee Shop,Ice Cream Shop,Mexican Restaurant,American Restaurant,Burger Joint,Taco Place,Pizza Place,Wine Shop,Italian Restaurant
"(Deerfield West, Normandy Estates) - Plano",75024,33.08,-96.81,36039,88707.0,289300.0,0.01882217090069284,0.2575442648190916,0.05434949961508853,0.3934949961508853,0.2305234795996921,0.028060046189376443,0.01720554272517321,Mexican Restaurant,Italian Restaurant,Fast Food Restaurant,Grocery Store,Ice Cream Shop,Sushi Restaurant,Burger Joint,Bakery,Golf Course,BBQ Joint
"(Ridgeview, Russel Creek Park) - Plano",75025,33.1,-96.73,50926,104168.0,253700.0,0.029900431861804223,0.2359944817658349,0.07632557581573897,0.3864263435700576,0.2213591650671785,0.023242562380038388,0.02675143953934741,Grocery Store,Ice Cream Shop,Italian Restaurant,Fast Food Restaurant,American Restaurant,Pizza Place,BBQ Joint,Sushi Restaurant,Coffee Shop,Park
East Flower Mound,75028,33.03,-97.07,42226,111391.0,234700.0,0.02075548484960598,0.3587628103148471,0.0751785119686263,0.3887306226645455,0.12519886048318474,0.021976395723112208,0.009397313996078287,Mexican Restaurant,Ice Cream Shop,Coffee Shop,American Restaurant,Fast Food Restaurant,Golf Course,Grocery Store,Supermarket,Pharmacy,Park
South Rockwall,75032,32.9,-96.4,27986,93308.0,211300.0,0.09033483976992604,0.43991372226787184,0.06989523418241578,0.26689605587510273,0.09295398520953163,0.02680772391125719,0.013198438783894824,Pizza Place,Burger Joint,Mexican Restaurant,Fast Food Restaurant,Convenience Store,Italian Restaurant,Coffee Shop,American Restaurant,Supermarket,Sporting Goods Shop
West Frisco,75034,33.12,-96.88,72723,111318.0,285900.0,0.04945054945054945,0.3037798777098388,0.059049899516825585,0.4007782101167315,0.153226151280626,0.021785607388720228,0.011929704536708429,Ice Cream Shop,Fast Food Restaurant,Italian Restaurant,Coffee Shop,Park,Mexican Restaurant,BBQ Joint,Gym / Fitness Center,Sushi Restaurant,New American Restaurant
East Frisco,75035,33.16,-96.77,47553,102913.0,212800.0,0.037188354511822425,0.3200900755991636,0.07649991957535789,0.4155058709988741,0.11523242721569887,0.01968795238861187,0.015795399710471288,Italian Restaurant,Coffee Shop,Fast Food Restaurant,Ice Cream Shop,Mexican Restaurant,Grocery Store,Sushi Restaurant,Supermarket,BBQ Joint,Pizza Place
"(Cottonwood Valley, Arts District) - Irving",75038,32.88,-96.98,27802,48130.0,171100.0,0.11119524067063276,0.384532179556517,0.0605191995673337,0.2729583558680368,0.14310438074634935,0.0149269875608437,0.012763656030286641,Fast Food Restaurant,Mexican Restaurant,Coffee Shop,American Restaurant,Steakhouse,Seafood Restaurant,Ice Cream Shop,Bakery,Liquor Store,Sandwich Place
Las Colinas - Irving,75039,32.88,-96.95,11032,73503.0,389600.0,0.0234625322997416,0.2110594315245478,0.06480620155038759,0.42914728682170544,0.22428940568475453,0.03503875968992248,0.012196382428940571,Mexican Restaurant,Fast Food Restaurant,Grocery Store,Coffee Shop,Bakery,Brewery,Restaurant,Ice Cream Shop,New American Restaurant,Thai Restaurant
Northeast Garland,75040,32.93,-96.62,59406,54664.0,113000.0,0.27794133682259303,0.4575564278704613,0.07441936539090611,0.14365936102933158,0.03718242285465053,0.005751826409333771,0.0034892596227238037,Mexican Restaurant,American Restaurant,Fast Food Restaurant,Burger Joint,Ice Cream Shop,Golf Course,Coffee Shop,Grocery Store,Chinese Restaurant,Seafood Restaurant
"(Almeta, Bonite, Bella Vista) - Garland",75041,32.88,-96.65,30700,40136.0,97300.0,0.3406301824212272,0.4720287451630735,0.04223327805417357,0.10088446655610836,0.035046987285793266,0.00718629076838032,0.001990049751243781,Burger Joint,Grocery Store,Brewery,Ice Cream Shop,Fast Food Restaurant,Taco Place,Coffee Shop,Steakhouse,Bakery,Movie Theater
"(Forest Crest, Park Groves, Creekside Village) - Garland",75042,32.92,-96.68,37881,39811.0,99200.0,0.34468449776735377,0.4712913265076,0.0599431690045555,0.08484055748500294,0.031347255423751746,0.005096748004149565,0.002796445807586487,Grocery Store,Burger Joint,Ice Cream Shop,Fast Food Restaurant,Coffee Shop,Wine Shop,Mexican Restaurant,Seafood Restaurant,Taco Place,American Restaurant
Bass Park Area - Garland,75043,32.86,-96.59,58094,55149.0,120900.0,0.1580496579542667,0.5345180016897877,0.08342645335368347,0.1591398435583658,0.05110245019214521,0.008939521953612603,0.004824071298138508,Mexican Restaurant,Fast Food Restaurant,Burger Joint,Coffee Shop,Ice Cream Shop,American Restaurant,BBQ Joint,Taco Place,Brewery,Steakhouse
"(Firewheel Hills, Picket Place, Camelot) - Garland",75044,32.96,-96.65,40811,64302.0,136000.0,0.11583619702176405,0.4426904352806415,0.09260452462772052,0.23661225658648335,0.0896692439862543,0.010309278350515464,0.01227806414662085,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Ice Cream Shop,Burger Joint,Coffee Shop,Grocery Store,Brewery,Bakery,BBQ Joint
Sachse,75048,32.97,-96.58,20328,87171.0,181500.0,0.07121013543031891,0.5161642638706859,0.07696228338430174,0.2307412261540702,0.0818406873452745,0.003567787971457696,0.019513615843891077,American Restaurant,Fast Food Restaurant,Mexican Restaurant,Coffee Shop,Grocery Store,Golf Course,Seafood Restaurant,Burger Joint,Park,Ice Cream Shop
North Grand Prairie,75050,32.78,-96.99,41041,44548.0,104400.0,0.2238199691282801,0.5401332358436917,0.05873750913965393,0.13140791290925338,0.03696482248761069,0.0035746201966041107,0.0053619302949061655,Fast Food Restaurant,Sandwich Place,Mexican Restaurant,Coffee Shop,American Restaurant,Seafood Restaurant,Park,Burger Joint,Bakery,Bar
South Grand Prairie,75051,32.73,-96.99,39285,40107.0,95400.0,0.349483449293696,0.5017921146953405,0.03487244360109635,0.08226860636727809,0.028505165507063036,0.0006325110689437065,0.002445709466582332,Coffee Shop,Fast Food Restaurant,American Restaurant,Sandwich Place,Park,Mexican Restaurant,Burger Joint,Chinese Restaurant,Bakery,Pizza Place
Southwest Grand Prairie,75052,32.65,-97.02,88996,66744.0,134300.0,0.14601151545642574,0.4952764268544916,0.08088769634971213,0.19982484580841112,0.062328805411146514,0.009726647660573537,0.005944062459239384,Coffee Shop,Fast Food Restaurant,Convenience Store,American Restaurant,Supermarket,Mexican Restaurant,Ice Cream Shop,Lingerie Store,Grocery Store,Park
Estes Park Area - Grand Prairie,75054,32.6,-97.04,5053,105000.0,224600.0,0.025720966484801246,0.3294362171992725,0.10184463497012212,0.3354117952714991,0.1852429202390231,0.0033775006495193557,0.01896596518576253,Coffee Shop,Fast Food Restaurant,American Restaurant,Restaurant,Mexican Restaurant,Furniture / Home Store,Bakery,Grocery Store,Warehouse Store,Park
The Colony,75056,33.07,-96.9,47852,79251.0,167500.0,0.06326905703872153,0.4471200274134762,0.08523098968879474,0.2617675461823619,0.11239525248434627,0.012304912619544564,0.017912214572754742,Italian Restaurant,Sushi Restaurant,Fast Food Restaurant,Golf Course,Ice Cream Shop,Mexican Restaurant,Pizza Place,Liquor Store,Bakery,Bar
Northeast to Southeast Lewisville,75057,33.05,-96.98,12900,50338.0,98000.0,0.2747990884011035,0.44152572867938106,0.09979608972052297,0.13326136499940025,0.04665946983327336,0.0005997361161089121,0.003358522250209908,Coffee Shop,Pizza Place,American Restaurant,Ice Cream Shop,Liquor Store,Fast Food Restaurant,Mexican Restaurant,Supermarket,Park,Grocery Store
"(Lamar Brown, Irving Lake, Trinity Oaks) - Irving",75060,32.79,-96.95,45980,45775.0,110000.0,0.32405891980360063,0.4856883069649027,0.051536643026004726,0.0972540461902164,0.03233315148208765,0.00691034733587925,0.0022185851973086017,Fast Food Restaurant,Coffee Shop,Burger Joint,Park,Mexican Restaurant,American Restaurant,Japanese Restaurant,Seafood Restaurant,Brewery,Music Venue
"(Garden Oaks, Plymoth Park) - Irving",75061,32.83,-97.01,53442,40084.0,114900.0,0.3342767195598944,0.4590580977517728,0.05390021305688937,0.10824561961395364,0.0323719273698604,0.005374121537825548,0.006773301109803797,Fast Food Restaurant,Coffee Shop,American Restaurant,Seafood Restaurant,Mexican Restaurant,Burger Joint,Sandwich Place,Bakery,Cajun / Creole Restaurant,Park
"(Hillcrest Oaks, Arts District, Woodhaven) - Irving",75062,32.85,-96.96,44537,45872.0,121600.0,0.21319674392935986,0.4595060706401766,0.06205160044150111,0.18670667770419427,0.058602373068432675,0.011968818984547462,0.00796771523178808,Mexican Restaurant,Burger Joint,Coffee Shop,Fast Food Restaurant,Grocery Store,American Restaurant,Brewery,Steakhouse,Thai Restaurant,Sandwich Place
"(Hackberry Creek, Valley Ranch) - Irving",75063,32.92,-96.98,35090,69114.0,278200.0,0.04161422278162366,0.2571192573945878,0.04653083700440529,0.3785006293266205,0.2242369414726243,0.030207677784770293,0.02179043423536816,Fast Food Restaurant,Mexican Restaurant,Ice Cream Shop,Bakery,Coffee Shop,Steakhouse,American Restaurant,Seafood Restaurant,Sushi Restaurant,Supermarket
Lake Dallas,75065,33.12,-97.03,10748,72342.0,157500.0,0.04960732984293194,0.5730366492146597,0.09698952879581152,0.2168848167539267,0.053272251308900516,0.001963350785340314,0.008246073298429319,Coffee Shop,Mexican Restaurant,Fast Food Restaurant,Park,Supermarket,Ice Cream Shop,American Restaurant,Steakhouse,Pharmacy,Grocery Store
West to Southwest Lewisville,75067,33.02,-96.99,60982,56555.0,149100.0,0.12404903323644635,0.479388348287628,0.08272463035511184,0.2250221155061292,0.07195753822823202,0.007354985466953116,0.009503348919499558,Coffee Shop,Ice Cream Shop,Fast Food Restaurant,Pizza Place,Mexican Restaurant,Brewery,Liquor Store,Supermarket,American Restaurant,Grocery Store
Little Elm,75068,33.15,-96.95,34934,85446.0,161000.0,0.1019946535060662,0.4971005552128316,0.08986222496401397,0.229487970388649,0.05457536500102817,0.008307629035574748,0.01867160189183632,Fast Food Restaurant,Italian Restaurant,Park,Mexican Restaurant,Ice Cream Shop,Grocery Store,Bar,BBQ Joint,Gym / Fitness Center,Brewery
Southeast McKinney,75069,33.18,-96.59,34108,45907.0,176400.0,0.185589519650655,0.4663846433770015,0.05504002911208152,0.2217066957787482,0.05522197962154294,0.009233988355167394,0.006823144104803494,Burger Joint,Fast Food Restaurant,Coffee Shop,Grocery Store,Mexican Restaurant,Supermarket,Steakhouse,Convenience Store,BBQ Joint,Shopping Plaza
Southwest McKinney,75070,33.16,-96.72,74734,98524.0,197100.0,0.03388246047738746,0.32469825705798033,0.090159336892619,0.3842366578723228,0.1356129380725845,0.01634917007707169,0.015061179550034278,Grocery Store,Fast Food Restaurant,Mexican Restaurant,Coffee Shop,Italian Restaurant,Pizza Place,Ice Cream Shop,BBQ Joint,Donut Shop,Sporting Goods Shop
North McKinney,75071,33.3,-96.6,36090,80291.0,174700.0,0.0587419999184705,0.4056092291386409,0.10040357099180627,0.309037544331662,0.10264563205739677,0.016102074925604337,0.007459948636419225,Coffee Shop,Steakhouse,Sandwich Place,Italian Restaurant,Burger Joint,Fast Food Restaurant,Gym,Café,Grocery Store,Farmers Market
"(Timber Brook, Oak Point, Plano Park) - Plano",75074,33.04,-96.67,44622,54518.0,145400.0,0.19411665257819105,0.43093829247675397,0.06566356720202875,0.2149112426035503,0.07222316145393068,0.014032121724429416,0.008114961961115805,Ice Cream Shop,Grocery Store,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Coffee Shop,Burger Joint,Taco Place,Wine Shop,Park
"(Greenway Court, Pitman Creek) - Plano",75075,33.02,-96.75,33262,72852.0,180800.0,0.07114077058675397,0.3936036262906069,0.06140350877192983,0.31532779316712833,0.12763367749517335,0.018299336858893647,0.012591286829513977,Grocery Store,Burger Joint,Ice Cream Shop,American Restaurant,Taco Place,Bakery,Wine Shop,Mexican Restaurant,Coffee Shop,Park
Northwest Lewisville,75077,33.08,-97.07,35330,99629.0,211100.0,0.031017572537801387,0.4310175725378014,0.09080506742950553,0.3121781773600327,0.10159378831221903,0.02051491622394769,0.012872905598692277,Fast Food Restaurant,Mexican Restaurant,Coffee Shop,Ice Cream Shop,Park,Grocery Store,Supermarket,American Restaurant,Pizza Place,Restaurant
Prosper,75078,33.26,-96.82,10592,119529.0,341600.0,0.04264577893820714,0.3822164200754279,0.09704090513489992,0.3424717145343777,0.0942848854076008,0.0248041775456919,0.016536118363794605,Mexican Restaurant,Ice Cream Shop,Park,Fast Food Restaurant,Italian Restaurant,Supermarket,Coffee Shop,Burger Joint,American Restaurant,Grocery Store
Northwest Richardson,75080,32.97,-96.74,44009,60440.0,183400.0,0.11069340016708436,0.34280144806460594,0.0556947925368978,0.3171818434976329,0.1377053745474798,0.01984126984126984,0.016081871345029242,Grocery Store,Ice Cream Shop,American Restaurant,Fast Food Restaurant,Burger Joint,Steakhouse,Seafood Restaurant,Coffee Shop,Park,Wine Shop
East Richardson,75081,32.95,-96.72,34156,63470.0,162300.0,0.0817398613154024,0.4258877915528472,0.06593822231561253,0.2716957343979828,0.121580163899979,0.018953561672620297,0.014204664845555787,Grocery Store,Ice Cream Shop,American Restaurant,Burger Joint,Coffee Shop,Taco Place,Steakhouse,Park,Seafood Restaurant,Wine Shop
Northeast Richardson,75082,32.99,-96.66,21182,111726.0,254900.0,0.05475915483388817,0.2731163801888715,0.035804062776003814,0.377403356206264,0.19437461784088592,0.03811400230993953,0.026428425844147018,Fast Food Restaurant,Ice Cream Shop,Mexican Restaurant,American Restaurant,Coffee Shop,Bakery,Burger Joint,Grocery Store,BBQ Joint,Park
North Rockwall,75087,32.94,-96.44,28145,86094.0,207500.0,0.07036787913281937,0.4483365240337352,0.07321363895069075,0.2825580793708284,0.09903244166192374,0.0189889791483417,0.007502457701660889,Mexican Restaurant,Burger Joint,Fast Food Restaurant,American Restaurant,Italian Restaurant,Pizza Place,Supermarket,Grocery Store,Golf Course,Sporting Goods Shop
South Rowlett,75088,32.89,-96.55,24712,81425.0,154400.0,0.08886201336097674,0.4989057820778622,0.07941718498041926,0.23450817783920755,0.07958995623128312,0.013360976733471551,0.005355908776779544,Fast Food Restaurant,Burger Joint,Mexican Restaurant,Coffee Shop,Grocery Store,Golf Course,Bookstore,American Restaurant,Italian Restaurant,Hardware Store
North Rowlett,75089,32.94,-96.55,30251,86134.0,161000.0,0.11615435647943388,0.4462074303405573,0.09138655462184872,0.24303405572755415,0.07706766917293233,0.018465280849181774,0.007684652808491819,Fast Food Restaurant,Coffee Shop,Grocery Store,Burger Joint,Pizza Place,American Restaurant,Mexican Restaurant,Golf Course,Chinese Restaurant,Greek Restaurant
"(Willow Bend, Westworth Estates) - Plano",75093,33.04,-96.81,47187,99225.0,350000.0,0.03060446098922894,0.2526469960028072,0.06950843682299454,0.3985597900710951,0.16690568455741006,0.05470966954505233,0.02706496201141183,Grocery Store,Ice Cream Shop,Italian Restaurant,Mexican Restaurant,Fast Food Restaurant,Coffee Shop,American Restaurant,Bakery,Burger Joint,Sushi Restaurant
Murphy,75094,33.01,-96.62,20579,116344.0,263300.0,0.04273789649415693,0.3393989983305509,0.0659432387312187,0.38080133555926543,0.14015025041736226,0.01861435726210351,0.012353923205342236,American Restaurant,Fast Food Restaurant,Mexican Restaurant,Coffee Shop,Park,Burger Joint,Grocery Store,Pizza Place,Ice Cream Shop,Golf Course
Wylie,75098,33.02,-96.52,48197,81413.0,158100.0,0.07335193464887216,0.4983695834874105,0.07664638450936229,0.2777422933405049,0.06504857632702457,0.0044710390963794665,0.004370188590446095,Coffee Shop,Fast Food Restaurant,American Restaurant,Golf Course,Grocery Store,Ice Cream Shop,Park,Burger Joint,Mexican Restaurant,Pizza Place
Bardwell,75101,32.3,-96.6,646,33438.0,75000.0,0.4598765432098765,0.4567901234567901,0.0308641975308642,0.037037037037037035,0.0,0.0,0.015432098765432096,Fast Food Restaurant,Mexican Restaurant,Sandwich Place,Pharmacy,Burger Joint,Liquor Store,BBQ Joint,Pizza Place,American Restaurant,Breakfast Spot
Cedar Hill,75104,32.59,-96.96,45373,67691.0,132800.0,0.0827593514888206,0.5033026032284271,0.09487478365299706,0.1997456818904313,0.09586379852354207,0.012503973720462013,0.010949807495319841,Grocery Store,Mexican Restaurant,Fast Food Restaurant,Convenience Store,Coffee Shop,Park,Supermarket,Wings Joint,Ice Cream Shop,Seafood Restaurant
Crandall,75114,32.6,-96.4,4660,68287.0,120100.0,0.14367201426024956,0.5971479500891266,0.05775401069518716,0.12620320855614972,0.049910873440285206,0.02531194295900178,0.0,Mexican Restaurant,Discount Store,Burger Joint,Fast Food Restaurant,Sandwich Place,Pizza Place,Ice Cream Shop,Pharmacy,Fried Chicken Joint,Breakfast Spot
DeSoto,75115,32.61,-96.87,48877,61729.0,142300.0,0.08131755018013381,0.5436105476673428,0.09030910356937424,0.19242529744785206,0.07559565256879901,0.009930065695861464,0.0068117828706366745,Fast Food Restaurant,Mexican Restaurant,Grocery Store,Convenience Store,Pharmacy,Coffee Shop,Ice Cream Shop,Seafood Restaurant,Fried Chicken Joint,Wings Joint
North Duncanville,75116,32.66,-96.92,19669,53706.0,103000.0,0.2298360107095047,0.5074464524765729,0.05940428380187416,0.14164993306559573,0.047607095046854085,0.010625836680053548,0.003430388219544846,Mexican Restaurant,Fast Food Restaurant,Convenience Store,Wings Joint,Park,Grocery Store,Coffee Shop,Supermarket,Seafood Restaurant,Bakery
Ennis,75119,32.4,-96.6,26601,44808.0,110200.0,0.253135043165921,0.5536580754930998,0.07183817505828975,0.07971516793748819,0.02980654105488689,0.006175562417291575,0.005671434873022875,Fast Food Restaurant,Mexican Restaurant,Convenience Store,Pharmacy,Sandwich Place,Pizza Place,Ice Cream Shop,American Restaurant,Burger Joint,Discount Store
Ferris,75125,32.5,-96.6,6691,45375.0,78600.0,0.3442783631462877,0.5011026709139916,0.07106101445724088,0.06787552070570939,0.0137221269296741,0.0019603038470963,0.0,Discount Store,Sandwich Place,Gas Station,Fast Food Restaurant,Pizza Place,Convenience Store,Mexican Restaurant,Golf Course,Steakhouse,Ice Cream Shop
Forney,75126,32.7,-96.4,33396,85677.0,157300.0,0.0761512360639845,0.5847309743092584,0.07382452738730005,0.1866698982064954,0.07406689287445467,0.0016480853126514786,0.00290838584585555,Mexican Restaurant,Fast Food Restaurant,American Restaurant,Burger Joint,Convenience Store,Ice Cream Shop,Discount Store,Coffee Shop,Sandwich Place,Movie Theater
Fate,75132,32.9,-96.3,294,65563.0,134900.0,0.05491990846681922,0.6018306636155606,0.041189931350114416,0.3020594965675057,0.0,0.0,0.0,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Discount Store,Burger Joint,Pizza Place,Convenience Store,Coffee Shop,Gas Station,Italian Restaurant
North Lancaster,75134,32.63,-96.76,20276,46971.0,101500.0,0.1293723849372385,0.6093723849372384,0.08050209205020921,0.13355648535564854,0.040836820083682016,0.0044351464435146435,0.0019246861924686195,Convenience Store,Mexican Restaurant,Fast Food Restaurant,Park,Coffee Shop,Fried Chicken Joint,American Restaurant,Burger Joint,Ice Cream Shop,Supermarket
Caddo Mills,75135,33.1,-96.2,5910,62800.0,112600.0,0.11257091669154973,0.6793072558972828,0.07554493878769783,0.07255897282770976,0.054643177067781434,0.005374738727978501,0.0,Mexican Restaurant,American Restaurant,Fast Food Restaurant,BBQ Joint,Ice Cream Shop,Pizza Place,Gas Station,Sandwich Place,Chinese Restaurant,Grocery Store
